Q: 0,A: 1,M: 2
"Chính sách về phép năm
Trong thời gian 2 tháng thử việc thì NV có được tính phép năm hay không? NV có được ứng phép nghỉ trong các trường hợp đặc biệt hay không?","Trong thời gian thử việc nhân viên không được hưởng phép năm.
 Sau thời gian thử việc, nhân viên được hưởng phép năm tương ứng với thời gian làm việc tại công ty kể từ ngày nhận việc và có thể sử dụng hàng tháng.
Đối với nhân viên PC 49 trở xuống có 12 ngày phép/1 năm.
Nhân viên PC từ 50-52 có 15 ngày phép/năm
Nhân viên PC từ 53 trở lên có 18 ngày phép 1 năm 
Đối với nhân viên làm công việc nặng nhọc ở nhà máy có 14 ngày phép 1 năm
Mỗi 3 năm làm việc tại công ty, nhân viên ở mọi cấp bậc sẽ được cộng thêm 1 ngày nghỉ phép năm
Không ứng trước phép năm riêng lẻ cho cá nhân trừ các tình huống bão lũ, thiên tai, dịch bệnh... dẫn đến NLĐ không đến nơi làm việc được",
Phép năm không sử dụng hết còn tồn trong năm thì những đối tượng nào được thanh toán và vào thời gian nào?,"Phép năm còn tồn trong năm được gia hạn đến 25/03 của năm sau, nếu không dùng hết sẽ thanh toán bằng tiền đối với khối bên trong PC <=49, khối bên ngoài ( kinh doanh và kỹ thuật ) sẽ tự hủy phép năm của năm cũ",
"Quyền lợi nhân viên, người thân được nhận chế độ Bảo Hiểm Bảo Việt khi có phát sinh
ví dụ: BH mức 1 người thân có được ngoại trú không, mức nhiêu, được quyền lợi bảo hiểm gì, có được Bảo lãnh viện phí cho khám ngoại trú không, lấy hóa đơn về thanh toán sau, bệnh viện có liên kết với Bảo Việt ...","Khi Nhân viên ký HĐLĐ với công ty có thể đăng ký Bảo Hiểm người thân ( cho vợ/chồng/Con cái)
Đối với Bảo hiểm người thân mức 1 (Nhân viên PC <40) có bảo hiểm nội trú, không có ngoại trú,
Đối với Bảo hiểm người thân mức 2 (Nhân viên có PC >=50) có bảo hiểm nội trú và ngoại trú
Chi tiết quyền lợi bảo hiểm, các bệnh viện có liên kết với Bảo Việt Anh Chị có thể xem trên App Bao Viet Direct hoặc liên hệ PE phụ trách khu vực để được tư vấn thêm",
Hướng dẫn thanh toán BH Bảo Việt trên App ,"Vào App Bao Viet Direct -> tạo yêu cầu bồi thường-> chọn sức khỏe ( yêu cầu bồi thường bảo hiểm sức khỏe) -> chọn thẻ (tên nhân viên hoặc người thân ) cần làm thanh toán-> khai báo thông tin theo yêu cầu bồi thường (nơi khám, chuẩn đoán, hình thức điều trị, nguyên nhân rủi ro)-> điền số tiền yêu cầu bồi thường, số tài khoản nhận ->chụp các chứng từ liên quan-> chọn nơi nhận hồ sơ ( chọn văn phòng miền Bắc, miền Trung hoặc miền Nam tùy thuộc vào nơi bạn đang ở)-> sau đó hoàn tất.
Bảo Việt sẽ gửi thông báo qua email và tin nhắn đã nhận hồ sơ từ 3-5 ngày làm việc",
"Xử lý vấn đề về App Bảo hiểm Bảo việt như cập nhật số điện thoại, App không thể hiện thông tin ... --> cần liên hệ ai bên công ty Bảo hiểm để được hỗ trợ, nhân nhờ nhân sự hướng dẫn ",Anh Chị vui lòng liên hệ PE phụ trách khu vực để được hướng dẫn thêm và hỗ trợ Anh Chị,
"Nghỉ việc có hưởng chế độ từng loại được nghỉ bao nhiêu ngày và ngày nghỉ tính từ đâu, hướng dẫn thủ tục, hồ sơ  ","Nghỉ việc có hưởng chế độ theo qui định của luật BHXH ví dụ ốm đau, thai sản, bệnh dài ngày. Tùy từng loại chế độ sẽ có ngày nghỉ khác nhau, Anh Chị liên hệ PE phụ trách khu vực để được hướng dẫn thêm về hồ sơ ","**Q: Nghỉ việc có hưởng chế độ từng loại được nghỉ bao nhiêu ngày và ngày nghỉ tính từ đâu, hướng dẫn thủ tục, hồ sơ  **A: Nghỉ việc có hưởng chế độ theo qui định của luật BHXH ví dụ ốm đau, thai sản, bệnh dài ngày. Tùy từng loại chế độ sẽ có ngày nghỉ khác nhau, Anh Chị liên hệ PE phụ trách khu vực để được hướng dẫn thêm về hồ sơ "
Team building dự kiến thời gian đi + địa điểm  … nếu không tổ chức có được chi tiền hay không  …,"Thời gian đi và địa điểm đi sẽ được công ty thông báo qua email để NLĐ nắm thông tin. Nếu không tổ chức sẽ không được chi tiền, mà ngân sách sẽ được giữ lại cho năm sau ","**Q: Team building dự kiến thời gian đi + địa điểm  … nếu không tổ chức có được chi tiền hay không  …**A: Thời gian đi và địa điểm đi sẽ được công ty thông báo qua email để NLĐ nắm thông tin. Nếu không tổ chức sẽ không được chi tiền, mà ngân sách sẽ được giữ lại cho năm sau "
"Nhân viên văn phòng có đăng ký WFH trong năm trước, đến thời hạn thanh toán phép năm (quý 1 năm sau) nhưng vẫn còn phép năm thì có được thanh toán bằng tiền số ngày phép còn của năm trước không?","Theo chính sách lương phúc lợi, Nhân viên văn phòng có làm WFH trong một số tình huống đặt biệt ( không phải WFH cho dịch bệnh, bão lũ), phép năm được sử dụng đến quý 1 năm sau, không thanh toán lại bằng tiền","**Q: Nhân viên văn phòng có đăng ký WFH trong năm trước, đến thời hạn thanh toán phép năm (quý 1 năm sau) nhưng vẫn còn phép năm thì có được thanh toán bằng tiền số ngày phép còn của năm trước không?**A: Theo chính sách lương phúc lợi, Nhân viên văn phòng có làm WFH trong một số tình huống đặt biệt ( không phải WFH cho dịch bệnh, bão lũ), phép năm được sử dụng đến quý 1 năm sau, không thanh toán lại bằng tiền"
"Nhân viên văn phòng xưởng (văn phòng sản xuất, văn phòng kho, phòng QA), có được sắp xếp nghỉ 1/2 ngày thứ 7 không?","Theo chính sách lương phúc lợi chỉ nhân viên văn phòng các nhà máy có thể nghỉ buổi chiều thứ 7. TBP quyết định sắp xếp nhân sự làm luân phiên thứ 7 để không ảnh hưởng đến tiến độ, chất lượng công việc ","**Q: Nhân viên văn phòng xưởng (văn phòng sản xuất, văn phòng kho, phòng QA), có được sắp xếp nghỉ 1/2 ngày thứ 7 không?**A: Theo chính sách lương phúc lợi chỉ nhân viên văn phòng các nhà máy có thể nghỉ buổi chiều thứ 7. TBP quyết định sắp xếp nhân sự làm luân phiên thứ 7 để không ảnh hưởng đến tiến độ, chất lượng công việc "
"Khi sinh con được nghỉ mấy ngày và được hưởng những quyền lợi gì từ BHXH, và Bảo hiểm Bảo Việt?
Tôi cần bổ sung hồ sơ gì ?Và thời gian bao lâu sau khi sinh?","Khi sinh con được nghỉ theo chế độ của BHXH, BHXH chi trả lương trong thời gian nghỉ thai sản
Chi phí nằm viện do Bảo Hiểm Bảo Việt chi trả.
NLĐ cần bổ sung giấy khai sinh hoặc chứng sinh của bé trong 1 tháng sau sinh để công ty giải quyết các chế độ cho NLĐ","**Q: Khi sinh con được nghỉ mấy ngày và được hưởng những quyền lợi gì từ BHXH, và Bảo hiểm Bảo Việt?
Tôi cần bổ sung hồ sơ gì ?Và thời gian bao lâu sau khi sinh?**A: Khi sinh con được nghỉ theo chế độ của BHXH, BHXH chi trả lương trong thời gian nghỉ thai sản
Chi phí nằm viện do Bảo Hiểm Bảo Việt chi trả.
NLĐ cần bổ sung giấy khai sinh hoặc chứng sinh của bé trong 1 tháng sau sinh để công ty giải quyết các chế độ cho NLĐ"
